"Input","SYMBOL","Species"
"BCAS1-Macaca mulatta","BCAS1","Macaca mulatta"
"BCDIN3D-Macaca mulatta","BCDIN3D","Macaca mulatta"
"BCR-Macaca mulatta","BCR","Macaca mulatta"
"BEGAIN-Macaca mulatta","BEGAIN","Macaca mulatta"
"BIN1-Macaca mulatta","BIN1","Macaca mulatta"
"BMPR2-Macaca mulatta","BMPR2","Macaca mulatta"
"BRI3BP-Macaca mulatta","BRI3BP","Macaca mulatta"
"BRINP1-Macaca mulatta","BRINP1","Macaca mulatta"
"BRK1-Macaca mulatta","BRK1","Macaca mulatta"
"BRSK1-Macaca mulatta","BRSK1","Macaca mulatta"
"BRSK2-Macaca mulatta","BRSK2","Macaca mulatta"
"BSCL2-Macaca mulatta","BSCL2","Macaca mulatta"
"BSG-Macaca mulatta","BSG","Macaca mulatta"
"BSN-Macaca mulatta","BSN","Macaca mulatta"
"BTBD11-Macaca mulatta","BTBD11","Macaca mulatta"
"BTBD17-Macaca mulatta","BTBD17","Macaca mulatta"
"BUB3-Macaca mulatta","BUB3","Macaca mulatta"
"C11H12orf57-Macaca mulatta","C11H12orf57","Macaca mulatta"
"C13H2orf16-Macaca mulatta","C13H2orf16","Macaca mulatta"
"C16H17orf80-Macaca mulatta","C16H17orf80","Macaca mulatta"
"C1QC-Macaca mulatta","C1QC","Macaca mulatta"
"C1QL3-Macaca mulatta","C1QL3","Macaca mulatta"
"C2CD2L-Macaca mulatta","C2CD2L","Macaca mulatta"
"C2CD5-Macaca mulatta","C2CD5","Macaca mulatta"
"CA4-Macaca mulatta","CA4","Macaca mulatta"
"CABLES2-Macaca mulatta","CABLES2","Macaca mulatta"
"CACNA1A-Macaca mulatta","CACNA1A","Macaca mulatta"
"CACNA1B-Macaca mulatta","CACNA1B","Macaca mulatta"
"CACNA1E-Macaca mulatta","CACNA1E","Macaca mulatta"
"CACNA1I-Macaca mulatta","CACNA1I","Macaca mulatta"
"CACNA2D1-Macaca mulatta","CACNA2D1","Macaca mulatta"
"CACNA2D3-Macaca mulatta","CACNA2D3","Macaca mulatta"
"CACNB1-Macaca mulatta","CACNB1","Macaca mulatta"
"CACNB2-Macaca mulatta","CACNB2","Macaca mulatta"
"CACNB3-Macaca mulatta","CACNB3","Macaca mulatta"
"CACNB4-Macaca mulatta","CACNB4","Macaca mulatta"
"CACNG2-Macaca mulatta","CACNG2","Macaca mulatta"
"CACNG3-Macaca mulatta","CACNG3","Macaca mulatta"
"CACNG8-Macaca mulatta","CACNG8","Macaca mulatta"
"CAD-Macaca mulatta","CAD","Macaca mulatta"
"CADM4-Macaca mulatta","CADM4","Macaca mulatta"
"CADPS-Macaca mulatta","CADPS","Macaca mulatta"
"CALM1-Macaca mulatta","CALM1","Macaca mulatta"
"CALR-Macaca mulatta","CALR","Macaca mulatta"
"CAMK1D-Macaca mulatta","CAMK1D","Macaca mulatta"
"CAMK2A-Macaca mulatta","CAMK2A","Macaca mulatta"
"CAMK2B-Macaca mulatta","CAMK2B","Macaca mulatta"
"CAMK2D-Macaca mulatta","CAMK2D","Macaca mulatta"
"CAMK2G-Macaca mulatta","CAMK2G","Macaca mulatta"
"CAMK4-Macaca mulatta","CAMK4","Macaca mulatta"
"CAMKK2-Macaca mulatta","CAMKK2","Macaca mulatta"
"CAMKV-Macaca mulatta","CAMKV","Macaca mulatta"
"CAMLG-Macaca mulatta","CAMLG","Macaca mulatta"
"CAMSAP3-Macaca mulatta","CAMSAP3","Macaca mulatta"
"CAND1-Macaca mulatta","CAND1","Macaca mulatta"
"CANX-Macaca mulatta","CANX","Macaca mulatta"
"CAP2-Macaca mulatta","CAP2","Macaca mulatta"
"CAPN1-Macaca mulatta","CAPN1","Macaca mulatta"
"CAPN11-Macaca mulatta","CAPN11","Macaca mulatta"
"CAPN5-Macaca mulatta","CAPN5","Macaca mulatta"
"CAPZA1-Macaca mulatta","CAPZA1","Macaca mulatta"
"CAPZA2-Macaca mulatta","CAPZA2","Macaca mulatta"
"CAPZB-Macaca mulatta","CAPZB","Macaca mulatta"
"CARD19-Macaca mulatta","CARD19","Macaca mulatta"
"CASK-Macaca mulatta","CASK","Macaca mulatta"
"CASKIN1-Macaca mulatta","CASKIN1","Macaca mulatta"
"CASP8AP2-Macaca mulatta","CASP8AP2","Macaca mulatta"
"CCDC136-Macaca mulatta","CCDC136","Macaca mulatta"
"CCDC177-Macaca mulatta","CCDC177","Macaca mulatta"
"CCDC88A-Macaca mulatta","CCDC88A","Macaca mulatta"
"CCNY-Macaca mulatta","CCNY","Macaca mulatta"
"CCSAP-Macaca mulatta","CCSAP","Macaca mulatta"
"CCT2-Macaca mulatta","CCT2","Macaca mulatta"
"CCT3-Macaca mulatta","CCT3","Macaca mulatta"
"CCT4-Macaca mulatta","CCT4","Macaca mulatta"
"CCT5-Macaca mulatta","CCT5","Macaca mulatta"
"CCT6A-Macaca mulatta","CCT6A","Macaca mulatta"
"CCT7-Macaca mulatta","CCT7","Macaca mulatta"
"CCT8-Macaca mulatta","CCT8","Macaca mulatta"
"CCZ1-Macaca mulatta","CCZ1","Macaca mulatta"
"CD47-Macaca mulatta","CD47","Macaca mulatta"
"CD59-Macaca mulatta","CD59","Macaca mulatta"
"CD9-Macaca mulatta","CD9","Macaca mulatta"
"CDC42-Macaca mulatta","CDC42","Macaca mulatta"
"CDC42BPB-Macaca mulatta","CDC42BPB","Macaca mulatta"
"CDH10-Macaca mulatta","CDH10","Macaca mulatta"
"CDH11-Macaca mulatta","CDH11","Macaca mulatta"
"CDH13-Macaca mulatta","CDH13","Macaca mulatta"
"CDH18-Macaca mulatta","CDH18","Macaca mulatta"
"CDH2-Macaca mulatta","CDH2","Macaca mulatta"
"CDH4-Macaca mulatta","CDH4","Macaca mulatta"
"CDH6-Macaca mulatta","CDH6","Macaca mulatta"
"CDH7-Macaca mulatta","CDH7","Macaca mulatta"
"CDH8-Macaca mulatta","CDH8","Macaca mulatta"
"CDH9-Macaca mulatta","CDH9","Macaca mulatta"
"CDK17-Macaca mulatta","CDK17","Macaca mulatta"
"CDK5-Macaca mulatta","CDK5","Macaca mulatta"
"CDK5RAP2-Macaca mulatta","CDK5RAP2","Macaca mulatta"
"CDKL5-Macaca mulatta","CDKL5","Macaca mulatta"
"CDS2-Macaca mulatta","CDS2","Macaca mulatta"
"CELF2-Macaca mulatta","CELF2","Macaca mulatta"
"CELSR3-Macaca mulatta","CELSR3","Macaca mulatta"
"CENPF-Macaca mulatta","CENPF","Macaca mulatta"
"CENPV-Macaca mulatta","CENPV","Macaca mulatta"
"CEP120-Macaca mulatta","CEP120","Macaca mulatta"
"CEP128-Macaca mulatta","CEP128","Macaca mulatta"
"CEP135-Macaca mulatta","CEP135","Macaca mulatta"
"CEP170-Macaca mulatta","CEP170","Macaca mulatta"
"CEP170B-Macaca mulatta","CEP170B","Macaca mulatta"
"CEP250-Macaca mulatta","CEP250","Macaca mulatta"
"CEP350-Macaca mulatta","CEP350","Macaca mulatta"
