"Input","SYMBOL","Species"
"Bri3bp-Mus musculus","Bri3bp","Mus musculus"
"Brinp1-Mus musculus","Brinp1","Mus musculus"
"Brsk1-Mus musculus","Brsk1","Mus musculus"
"Brsk2-Mus musculus","Brsk2","Mus musculus"
"Bsg-Mus musculus","Bsg","Mus musculus"
"Bsn-Mus musculus","Bsn","Mus musculus"
"Btbd11-Mus musculus","Btbd11","Mus musculus"
"Btbd17-Mus musculus","Btbd17","Mus musculus"
"Bzw2-Mus musculus","Bzw2","Mus musculus"
"C1galt1c1-Mus musculus","C1galt1c1","Mus musculus"
"C1qtnf4-Mus musculus","C1qtnf4","Mus musculus"
"C2cd2l-Mus musculus","C2cd2l","Mus musculus"
"Cables1-Mus musculus","Cables1","Mus musculus"
"Cables2-Mus musculus","Cables2","Mus musculus"
"Cacna1a-Mus musculus","Cacna1a","Mus musculus"
"Cacna1b-Mus musculus","Cacna1b","Mus musculus"
"Cacna1e-Mus musculus","Cacna1e","Mus musculus"
"Cacna2d1-Mus musculus","Cacna2d1","Mus musculus"
"Cacna2d3-Mus musculus","Cacna2d3","Mus musculus"
"Cacnb1-Mus musculus","Cacnb1","Mus musculus"
"Cacnb3-Mus musculus","Cacnb3","Mus musculus"
"Cacnb4-Mus musculus","Cacnb4","Mus musculus"
"Cacng2-Mus musculus","Cacng2","Mus musculus"
"Cacng3-Mus musculus","Cacng3","Mus musculus"
"Cacng8-Mus musculus","Cacng8","Mus musculus"
"Cad-Mus musculus","Cad","Mus musculus"
"Cadm2-Mus musculus","Cadm2","Mus musculus"
"Cadps-Mus musculus","Cadps","Mus musculus"
"Calm1-Mus musculus","Calm1","Mus musculus"
"Calr-Mus musculus","Calr","Mus musculus"
"Camk2a-Mus musculus","Camk2a","Mus musculus"
"Camk2b-Mus musculus","Camk2b","Mus musculus"
"Camk2d-Mus musculus","Camk2d","Mus musculus"
"Camk2g-Mus musculus","Camk2g","Mus musculus"
"Camkv-Mus musculus","Camkv","Mus musculus"
"Caml-Mus musculus","Caml","Mus musculus"
"Camsap1-Mus musculus","Camsap1","Mus musculus"
"Camsap2-Mus musculus","Camsap2","Mus musculus"
"Camsap3-Mus musculus","Camsap3","Mus musculus"
"Cand1-Mus musculus","Cand1","Mus musculus"
"Canx-Mus musculus","Canx","Mus musculus"
"Cap1-Mus musculus","Cap1","Mus musculus"
"Capn5-Mus musculus","Capn5","Mus musculus"
"Capza1-Mus musculus","Capza1","Mus musculus"
"Capza2-Mus musculus","Capza2","Mus musculus"
"Capzb-Mus musculus","Capzb","Mus musculus"
"Car4-Mus musculus","Car4","Mus musculus"
"Carm1-Mus musculus","Carm1","Mus musculus"
"Cask-Mus musculus","Cask","Mus musculus"
"Caskin1-Mus musculus","Caskin1","Mus musculus"
"Cc2d1a-Mus musculus","Cc2d1a","Mus musculus"
"Ccdc136-Mus musculus","Ccdc136","Mus musculus"
"Ccdc177-Mus musculus","Ccdc177","Mus musculus"
"Ccdc47-Mus musculus","Ccdc47","Mus musculus"
"Ccdc88a-Mus musculus","Ccdc88a","Mus musculus"
"Ccny-Mus musculus","Ccny","Mus musculus"
"Cct2-Mus musculus","Cct2","Mus musculus"
"Cct3-Mus musculus","Cct3","Mus musculus"
"Cct4-Mus musculus","Cct4","Mus musculus"
"Cct5-Mus musculus","Cct5","Mus musculus"
"Cct6a-Mus musculus","Cct6a","Mus musculus"
"Cct8-Mus musculus","Cct8","Mus musculus"
"Ccz1-Mus musculus","Ccz1","Mus musculus"
"Cd200-Mus musculus","Cd200","Mus musculus"
"Cd47-Mus musculus","Cd47","Mus musculus"
"Cdc42-Mus musculus","Cdc42","Mus musculus"
"Cdc42bpb-Mus musculus","Cdc42bpb","Mus musculus"
"Cdc42ep4-Mus musculus","Cdc42ep4","Mus musculus"
"Cdh10-Mus musculus","Cdh10","Mus musculus"
"Cdh11-Mus musculus","Cdh11","Mus musculus"
"Cdh13-Mus musculus","Cdh13","Mus musculus"
"Cdh2-Mus musculus","Cdh2","Mus musculus"
"Cdh4-Mus musculus","Cdh4","Mus musculus"
"Cdh6-Mus musculus","Cdh6","Mus musculus"
"Cdipt-Mus musculus","Cdipt","Mus musculus"
"Cdk10-Mus musculus","Cdk10","Mus musculus"
"Cdk17-Mus musculus","Cdk17","Mus musculus"
"Cdk5-Mus musculus","Cdk5","Mus musculus"
"Cdkl5-Mus musculus","Cdkl5","Mus musculus"
"Cds2-Mus musculus","Cds2","Mus musculus"
"Cebpzos-Mus musculus","Cebpzos","Mus musculus"
"Celsr3-Mus musculus","Celsr3","Mus musculus"
"Cend1-Mus musculus","Cend1","Mus musculus"
"Cenpv-Mus musculus","Cenpv","Mus musculus"
"Cep170-Mus musculus","Cep170","Mus musculus"
"Cep170b-Mus musculus","Cep170b","Mus musculus"
"Cep295-Mus musculus","Cep295","Mus musculus"
"Cept1-Mus musculus","Cept1","Mus musculus"
"Cfl1-Mus musculus","Cfl1","Mus musculus"
"Chd1-Mus musculus","Chd1","Mus musculus"
"Chid1-Mus musculus","Chid1","Mus musculus"
"Chmp4b-Mus musculus","Chmp4b","Mus musculus"
"Chp1-Mus musculus","Chp1","Mus musculus"
"Chrm1-Mus musculus","Chrm1","Mus musculus"
"Cit-Mus musculus","Cit","Mus musculus"
"Ckap4-Mus musculus","Ckap4","Mus musculus"
"Ckap5-Mus musculus","Ckap5","Mus musculus"
"Ckb-Mus musculus","Ckb","Mus musculus"
"Clasp1-Mus musculus","Clasp1","Mus musculus"
"Clasp2-Mus musculus","Clasp2","Mus musculus"
"Clcn2-Mus musculus","Clcn2","Mus musculus"
"Clcn6-Mus musculus","Clcn6","Mus musculus"
"Cldn11-Mus musculus","Cldn11","Mus musculus"
"Cldn12-Mus musculus","Cldn12","Mus musculus"
"Cldnd1-Mus musculus","Cldnd1","Mus musculus"
"Clip2-Mus musculus","Clip2","Mus musculus"
"Clip3-Mus musculus","Clip3","Mus musculus"
"Clmn-Mus musculus","Clmn","Mus musculus"
"Clptm1-Mus musculus","Clptm1","Mus musculus"
"Cltc-Mus musculus","Cltc","Mus musculus"
"Clu-Mus musculus","Clu","Mus musculus"
"Cmas-Mus musculus","Cmas","Mus musculus"
"Cmip-Mus musculus","Cmip","Mus musculus"
"Cnih3-Mus musculus","Cnih3","Mus musculus"
"Cnksr2-Mus musculus","Cnksr2","Mus musculus"
"Cnot1-Mus musculus","Cnot1","Mus musculus"
"Cnp-Mus musculus","Cnp","Mus musculus"
"Cntfr-Mus musculus","Cntfr","Mus musculus"
"Cntn1-Mus musculus","Cntn1","Mus musculus"
"Cntn2-Mus musculus","Cntn2","Mus musculus"
"Cntn4-Mus musculus","Cntn4","Mus musculus"
"Cntnap1-Mus musculus","Cntnap1","Mus musculus"
"Cntnap2-Mus musculus","Cntnap2","Mus musculus"
"Cntrl-Mus musculus","Cntrl","Mus musculus"
"Copa-Mus musculus","Copa","Mus musculus"
"Copb1-Mus musculus","Copb1","Mus musculus"
"Coro1a-Mus musculus","Coro1a","Mus musculus"
