"Input","SYMBOL","Species"
"ATP2B3-Homo sapiens","ATP2B3","Homo sapiens"
"ATP2B4-Homo sapiens","ATP2B4","Homo sapiens"
"ATP2C1-Homo sapiens","ATP2C1","Homo sapiens"
"ATP5F1EP2-Homo sapiens","ATP5F1EP2","Homo sapiens"
"ATP6AP1-Homo sapiens","ATP6AP1","Homo sapiens"
"ATP6V0A1-Homo sapiens","ATP6V0A1","Homo sapiens"
"ATP6V0D1-Homo sapiens","ATP6V0D1","Homo sapiens"
"ATP6V1A-Homo sapiens","ATP6V1A","Homo sapiens"
"ATP6V1B2-Homo sapiens","ATP6V1B2","Homo sapiens"
"ATP6V1C1-Homo sapiens","ATP6V1C1","Homo sapiens"
"ATP6V1D-Homo sapiens","ATP6V1D","Homo sapiens"
"ATP6V1E1-Homo sapiens","ATP6V1E1","Homo sapiens"
"ATP6V1G2-Homo sapiens","ATP6V1G2","Homo sapiens"
"ATP6V1H-Homo sapiens","ATP6V1H","Homo sapiens"
"ATP8A1-Homo sapiens","ATP8A1","Homo sapiens"
"ATP8A2-Homo sapiens","ATP8A2","Homo sapiens"
"ATP9A-Homo sapiens","ATP9A","Homo sapiens"
"ATXN10-Homo sapiens","ATXN10","Homo sapiens"
"AVL9-Homo sapiens","AVL9","Homo sapiens"
"B3GALT6-Homo sapiens","B3GALT6","Homo sapiens"
"B3GAT3-Homo sapiens","B3GAT3","Homo sapiens"
"BAG6-Homo sapiens","BAG6","Homo sapiens"
"BAIAP2-Homo sapiens","BAIAP2","Homo sapiens"
"BANF1-Homo sapiens","BANF1","Homo sapiens"
"BASP1-Homo sapiens","BASP1","Homo sapiens"
"BCAN-Homo sapiens","BCAN","Homo sapiens"
"BCAP31-Homo sapiens","BCAP31","Homo sapiens"
"BCAS1-Homo sapiens","BCAS1","Homo sapiens"
"BCR-Homo sapiens","BCR","Homo sapiens"
"BEGAIN-Homo sapiens","BEGAIN","Homo sapiens"
"BIN1-Homo sapiens","BIN1","Homo sapiens"
"BLVRB-Homo sapiens","BLVRB","Homo sapiens"
"BMPR2-Homo sapiens","BMPR2","Homo sapiens"
"BRAF-Homo sapiens","BRAF","Homo sapiens"
"BRI3BP-Homo sapiens","BRI3BP","Homo sapiens"
"BRSK1-Homo sapiens","BRSK1","Homo sapiens"
"BRSK2-Homo sapiens","BRSK2","Homo sapiens"
"BSG-Homo sapiens","BSG","Homo sapiens"
"BSN-Homo sapiens","BSN","Homo sapiens"
"BTBD17-Homo sapiens","BTBD17","Homo sapiens"
"BUB3-Homo sapiens","BUB3","Homo sapiens"
"BZW2-Homo sapiens","BZW2","Homo sapiens"
"C12orf57-Homo sapiens","C12orf57","Homo sapiens"
"C17orf80-Homo sapiens","C17orf80","Homo sapiens"
"C1orf198-Homo sapiens","C1orf198","Homo sapiens"
"C1QC-Homo sapiens","C1QC","Homo sapiens"
"C1QTNF4-Homo sapiens","C1QTNF4","Homo sapiens"
"C2CD4C-Homo sapiens","C2CD4C","Homo sapiens"
"C2CD5-Homo sapiens","C2CD5","Homo sapiens"
"C2orf72-Homo sapiens","C2orf72","Homo sapiens"
"CA4-Homo sapiens","CA4","Homo sapiens"
"CABLES2-Homo sapiens","CABLES2","Homo sapiens"
"CACNA1A-Homo sapiens","CACNA1A","Homo sapiens"
"CACNA1B-Homo sapiens","CACNA1B","Homo sapiens"
"CACNA1E-Homo sapiens","CACNA1E","Homo sapiens"
"CACNA2D1-Homo sapiens","CACNA2D1","Homo sapiens"
"CACNA2D2-Homo sapiens","CACNA2D2","Homo sapiens"
"CACNB1-Homo sapiens","CACNB1","Homo sapiens"
"CACNB3-Homo sapiens","CACNB3","Homo sapiens"
"CACNB4-Homo sapiens","CACNB4","Homo sapiens"
"CACNG8-Homo sapiens","CACNG8","Homo sapiens"
"CACYBP-Homo sapiens","CACYBP","Homo sapiens"
"CAD-Homo sapiens","CAD","Homo sapiens"
"CADPS-Homo sapiens","CADPS","Homo sapiens"
"CALCOCO1-Homo sapiens","CALCOCO1","Homo sapiens"
"CALM1-Homo sapiens","CALM1","Homo sapiens"
"CALR-Homo sapiens","CALR","Homo sapiens"
"CAMK1D-Homo sapiens","CAMK1D","Homo sapiens"
"CAMK2A-Homo sapiens","CAMK2A","Homo sapiens"
"CAMK2B-Homo sapiens","CAMK2B","Homo sapiens"
"CAMK2D-Homo sapiens","CAMK2D","Homo sapiens"
"CAMK2G-Homo sapiens","CAMK2G","Homo sapiens"
"CAMK4-Homo sapiens","CAMK4","Homo sapiens"
"CAMKK1-Homo sapiens","CAMKK1","Homo sapiens"
"CAMKK2-Homo sapiens","CAMKK2","Homo sapiens"
"CAMKV-Homo sapiens","CAMKV","Homo sapiens"
"CAMLG-Homo sapiens","CAMLG","Homo sapiens"
"CAMSAP1-Homo sapiens","CAMSAP1","Homo sapiens"
"CAMSAP2-Homo sapiens","CAMSAP2","Homo sapiens"
"CAMSAP3-Homo sapiens","CAMSAP3","Homo sapiens"
"CAND1-Homo sapiens","CAND1","Homo sapiens"
"CAND2-Homo sapiens","CAND2","Homo sapiens"
"CANX-Homo sapiens","CANX","Homo sapiens"
"CAP1-Homo sapiens","CAP1","Homo sapiens"
"CAP2-Homo sapiens","CAP2","Homo sapiens"
"CAPN1-Homo sapiens","CAPN1","Homo sapiens"
"CAPN5-Homo sapiens","CAPN5","Homo sapiens"
"CAPZA1-Homo sapiens","CAPZA1","Homo sapiens"
"CAPZA2-Homo sapiens","CAPZA2","Homo sapiens"
"CAPZB-Homo sapiens","CAPZB","Homo sapiens"
"CARD19-Homo sapiens","CARD19","Homo sapiens"
"CASK-Homo sapiens","CASK","Homo sapiens"
"CASKIN1-Homo sapiens","CASKIN1","Homo sapiens"
"CBR1-Homo sapiens","CBR1","Homo sapiens"
"CC2D1A-Homo sapiens","CC2D1A","Homo sapiens"
"CCDC120-Homo sapiens","CCDC120","Homo sapiens"
"CCDC177-Homo sapiens","CCDC177","Homo sapiens"
"CCDC47-Homo sapiens","CCDC47","Homo sapiens"
"CCDC88A-Homo sapiens","CCDC88A","Homo sapiens"
"CCNY-Homo sapiens","CCNY","Homo sapiens"
"CCP110-Homo sapiens","CCP110","Homo sapiens"
"CCSAP-Homo sapiens","CCSAP","Homo sapiens"
"CCT2-Homo sapiens","CCT2","Homo sapiens"
"CCT3-Homo sapiens","CCT3","Homo sapiens"
"CCT4-Homo sapiens","CCT4","Homo sapiens"
"CCT5-Homo sapiens","CCT5","Homo sapiens"
"CCT6A-Homo sapiens","CCT6A","Homo sapiens"
"CCT6B-Homo sapiens","CCT6B","Homo sapiens"
"CCT7-Homo sapiens","CCT7","Homo sapiens"
"CCT8-Homo sapiens","CCT8","Homo sapiens"
"CCZ1B-Homo sapiens","CCZ1B","Homo sapiens"
"CD47-Homo sapiens","CD47","Homo sapiens"
"CD59-Homo sapiens","CD59","Homo sapiens"
"CD9-Homo sapiens","CD9","Homo sapiens"
